Output,Average Reward,Total Timesteps
1,0.03,2048
2,0.0,4096
3,0.01,6144
4,0.01,8192
5,0.04,10240
6,0.02,12288
7,0.05,14336
8,0.05,16384
9,0.07,18432
10,0.05,20480
11,0.16,22528
12,0.07,24576
13,0.15,26624
14,0.15,28672
15,0.11,30720
16,0.21,32768
17,0.24096385542168675,34816
18,0.27380952380952384,36864
19,0.2125,38912
20,0.225,40960
21,0.3333333333333333,43008
22,0.3783783783783784,45056
23,0.5223880597014925,47104
24,0.4925373134328358,49152
25,0.5333333333333333,51200
26,0.5538461538461539,53248
27,0.45901639344262296,55296
28,0.46774193548387094,57344
29,0.660377358490566,59392
30,0.5714285714285714,61440
31,0.5932203389830508,63488
32,0.574468085106383,65536
33,0.5263157894736842,67584
34,0.6538461538461539,69632
35,0.6111111111111112,71680
36,0.6808510638297872,73728
37,0.6792452830188679,75776
38,0.7678571428571429,77824
39,0.625,79872
40,0.723404255319149,81920
41,0.8076923076923077,83968
42,0.723404255319149,86016
43,0.6842105263157895,88064
44,0.72,90112
45,0.6935483870967742,92160
46,0.7272727272727273,94208
47,0.5625,96256
48,0.7547169811320755,98304
49,0.6875,100352
50,0.7543859649122807,102400
51,0.5813953488372093,104448
52,0.7058823529411765,106496
53,0.7843137254901961,108544
54,0.6610169491525424,110592
55,0.7307692307692307,112640
56,0.5208333333333334,114688
57,0.673469387755102,116736
58,0.6304347826086957,118784
59,0.7058823529411765,120832
60,0.723404255319149,122880
61,0.6938775510204082,124928
62,0.6,126976
63,0.6851851851851852,129024
64,0.7735849056603774,131072
65,0.6938775510204082,133120
66,0.6382978723404256,135168
67,0.5740740740740741,137216
68,0.5609756097560976,139264
69,0.6226415094339622,141312
70,0.7169811320754716,143360
71,0.62,145408
72,0.5434782608695652,147456
73,0.6122448979591837,149504
74,0.6046511627906976,151552
75,0.6610169491525424,153600
76,0.6545454545454545,155648
77,0.7924528301886793,157696
78,0.66,159744
79,0.7857142857142857,161792
80,0.6590909090909091,163840
81,0.7592592592592593,165888
82,0.6274509803921569,167936
83,0.7272727272727273,169984
84,0.6481481481481481,172032
85,0.7450980392156863,174080
86,0.7959183673469388,176128
87,0.6538461538461539,178176
88,0.5909090909090909,180224
89,0.6538461538461539,182272
90,0.6724137931034483,184320
91,0.660377358490566,186368
92,0.6333333333333333,188416
93,0.7450980392156863,190464
94,0.6862745098039216,192512
95,0.7049180327868853,194560
96,0.7450980392156863,196608
97,0.6444444444444445,198656
98,0.6818181818181818,200704
99,0.6,202752
100,0.673469387755102,204800
101,0.72,206848
102,0.6721311475409836,208896
103,0.6833333333333333,210944
104,0.7796610169491526,212992
105,0.6730769230769231,215040
106,0.7592592592592593,217088
107,0.6730769230769231,219136
108,0.7307692307692307,221184
109,0.6415094339622641,223232
110,0.7083333333333334,225280
111,0.7796610169491526,227328
112,0.6296296296296297,229376
113,0.6491228070175439,231424
114,0.6086956521739131,233472
115,0.6326530612244898,235520
116,0.7407407407407407,237568
117,0.6862745098039216,239616
118,0.6808510638297872,241664
119,0.74,243712
120,0.6,245760
121,0.6862745098039216,247808
122,0.7241379310344828,249856
123,0.6041666666666666,251904
124,0.7586206896551724,253952
125,0.6304347826086957,256000
126,0.7647058823529411,258048
127,0.6808510638297872,260096
128,0.7213114754098361,262144
129,0.6875,264192
130,0.75,266240
131,0.6909090909090909,268288
132,0.6170212765957447,270336
133,0.7142857142857143,272384
134,0.6730769230769231,274432
135,0.6923076923076923,276480
136,0.7,278528
137,0.7083333333333334,280576
138,0.6875,282624
139,0.6078431372549019,284672
140,0.6415094339622641,286720
141,0.6491228070175439,288768
142,0.6909090909090909,290816
143,0.6666666666666666,292864
144,0.711864406779661,294912
145,0.5833333333333334,296960
146,0.7924528301886793,299008
147,0.76,301056
148,0.6078431372549019,303104
149,0.7241379310344828,305152
150,0.7254901960784313,307200
151,0.6,309248
152,0.7450980392156863,311296
153,0.717391304347826,313344
154,0.6,315392
155,0.6964285714285714,317440
156,0.6964285714285714,319488
157,0.6326530612244898,321536
158,0.6842105263157895,323584
159,0.6862745098039216,325632
160,0.8,327680
161,0.6875,329728
162,0.75,331776
163,0.4897959183673469,333824
164,0.8888888888888888,335872
165,0.8301886792452831,337920
166,0.58,339968
167,0.6363636363636364,342016
168,0.6346153846153846,344064
169,0.7115384615384616,346112
170,0.75,348160
171,0.7142857142857143,350208
172,0.6739130434782609,352256
173,0.660377358490566,354304
174,0.6851851851851852,356352
175,0.74,358400
176,0.7142857142857143,360448
177,0.6491228070175439,362496
178,0.6909090909090909,364544
179,0.6666666666666666,366592
180,0.7777777777777778,368640
181,0.6341463414634146,370688
182,0.7222222222222222,372736
183,0.7551020408163265,374784
184,0.7111111111111111,376832
185,0.6458333333333334,378880
186,0.673469387755102,380928
187,0.723404255319149,382976
188,0.7674418604651163,385024
189,0.8,387072
190,0.7872340425531915,389120
191,0.7457627118644068,391168
192,0.78,393216
193,0.6724137931034483,395264
194,0.6792452830188679,397312
195,0.8235294117647058,399360
196,0.7608695652173914,401408
197,0.6981132075471698,403456
198,0.6666666666666666,405504
199,0.723404255319149,407552
200,0.8113207547169812,409600
201,0.6363636363636364,411648
202,0.574468085106383,413696
203,0.7115384615384616,415744
204,0.6976744186046512,417792
205,0.7333333333333333,419840
206,0.6739130434782609,421888
207,0.7407407407407407,423936
208,0.6382978723404256,425984
209,0.7142857142857143,428032
210,0.6976744186046512,430080
211,0.8,432128
212,0.6956521739130435,434176
213,0.6938775510204082,436224
214,0.72,438272
215,0.7254901960784313,440320
216,0.6590909090909091,442368
217,0.7254901960784313,444416
218,0.7083333333333334,446464
219,0.7454545454545455,448512
220,0.5106382978723404,450560
221,0.64,452608
222,0.6666666666666666,454656
223,0.7551020408163265,456704
224,0.8035714285714286,458752
225,0.6875,460800
226,0.6382978723404256,462848
227,0.6190476190476191,464896
228,0.6904761904761905,466944
229,0.7962962962962963,468992
230,0.5892857142857143,471040
231,0.7659574468085106,473088
232,0.6,475136
233,0.5319148936170213,477184
234,0.7692307692307693,479232
235,0.7272727272727273,481280
236,0.7954545454545454,483328
237,0.6666666666666666,485376
238,0.6363636363636364,487424
239,0.6808510638297872,489472
240,0.7627118644067796,491520
241,0.6379310344827587,493568
242,0.6666666666666666,495616
243,0.7659574468085106,497664
244,0.7884615384615384,499712
245,0.6530612244897959,501760
