#{"t_start": 1713718523.670062, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,306,270.243514
2.0,234,274.130767
0.0,158,276.665543
3.0,287,283.125983
0.0,146,286.064797
1.0,185,290.280395
0.0,183,293.089541
0.0,154,295.870663
3.0,299,302.900758
5.0,338,310.579989
1.0,206,314.51298
3.0,288,320.587231
1.0,216,324.285792
3.0,276,330.720954
1.0,206,334.58021
4.0,339,342.136769
0.0,177,345.494627
6.0,295,351.703224
1.0,199,355.779178
0.0,174,358.54747
3.0,266,364.443476
2.0,244,369.197087
1.0,194,373.021891
3.0,312,380.015528
5.0,352,388.217514
6.0,388,397.971984
2.0,261,403.370904
0.0,177,406.106332
2.0,232,410.681513
0.0,183,413.849765
3.0,279,419.762473
3.0,269,426.076214
0.0,167,428.924165
0.0,151,431.274184
1.0,172,434.289695
1.0,209,437.655144
2.0,242,442.234433
2.0,266,446.854981
0.0,153,449.35077
0.0,165,451.858295
0.0,144,454.369627
2.0,244,458.59353
4.0,344,466.718444
4.0,318,473.267264
0.0,160,475.821357
4.0,358,483.905561
1.0,187,487.45347
0.0,176,490.224376
0.0,157,492.926212
2.0,226,498.054924
0.0,172,500.719334
1.0,209,504.352329
0.0,168,507.25941
2.0,233,511.948655
1.0,195,515.646798
2.0,252,520.74353
1.0,192,524.321006
0.0,167,527.101577
3.0,304,533.660456
0.0,172,536.453401
3.0,271,542.561361
3.0,274,548.564682
0.0,163,551.866483
0.0,179,554.652182
1.0,191,558.294245
2.0,276,563.680283
3.0,268,569.185459
0.0,155,572.039522
3.0,284,578.464781
2.0,221,582.637311
2.0,218,587.652072
2.0,218,591.757831
0.0,161,594.466223
5.0,368,602.835356
0.0,154,605.491158
3.0,288,611.281889
2.0,254,616.081262
3.0,284,622.200397
0.0,181,625.041135
0.0,173,627.702658
1.0,221,631.942011
3.0,269,637.329071
2.0,241,642.174313
2.0,240,646.698598
1.0,209,650.24315
1.0,177,653.369882
0.0,171,656.108731
2.0,223,660.543099
2.0,230,665.563829
3.0,292,672.159342
1.0,190,675.747189
0.0,172,678.518196
1.0,195,682.579637
2.0,222,687.070923
2.0,231,691.949978
1.0,199,696.139874
0.0,148,698.966719
0.0,159,701.53075
4.0,330,708.819379
0.0,159,711.51404
2.0,235,716.52873
3.0,279,722.458401
4.0,313,729.006664
1.0,223,732.901011
0.0,160,735.573665
4.0,347,743.975062
1.0,184,747.523936
3.0,256,752.776564
3.0,279,758.418009
3.0,261,763.654651
2.0,241,768.397811
2.0,244,772.77664
0.0,173,775.383535
1.0,211,779.570412
2.0,224,783.942963
1.0,181,787.007135
3.0,281,792.627712
1.0,184,796.191293
0.0,172,798.950483
0.0,173,801.802432
3.0,273,808.036543
2.0,247,813.628797
0.0,152,815.966514
0.0,163,819.241413
1.0,195,822.989766
4.0,327,830.313953
7.0,358,838.012132
3.0,265,843.888614
2.0,239,848.788635
0.0,150,851.554925
2.0,241,856.278095
2.0,251,861.476824
0.0,165,864.229062
4.0,343,871.694825
1.0,206,875.751657
2.0,211,879.881474
1.0,176,883.644219
1.0,215,887.17067
1.0,197,890.951288
2.0,242,895.25083
3.0,295,901.411342
3.0,261,906.980794
1.0,215,910.935929
3.0,294,917.245741
4.0,306,924.00938
0.0,158,926.796494
1.0,210,930.456224
1.0,203,934.526477
0.0,175,937.198269
2.0,259,941.838234
0.0,152,944.447065
1.0,196,948.157146
1.0,185,952.11197
