#{"t_start": 1713848176.2052467, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,248,2.257944
4.0,315,2.820255
1.0,193,3.777218
3.0,277,4.233495
1.0,199,4.600894
2.0,199,5.2423
3.0,267,5.659419
1.0,198,5.921352
1.0,200,6.24778
0.0,160,6.759362
2.0,222,7.133897
4.0,318,7.699244
0.0,176,8.236014
0.0,162,8.452981
2.0,244,8.874245
1.0,195,9.168659
1.0,190,9.793497
1.0,196,10.089975
2.0,233,10.448532
2.0,227,10.803685
1.0,177,11.382809
5.0,358,11.950708
3.0,250,12.640356
3.0,225,12.991936
2.0,222,13.327533
2.0,220,13.642667
2.0,226,14.256647
0.0,156,14.468962
3.0,257,14.865583
8.0,290,15.60011
4.0,300,16.106519
3.0,278,16.816413
4.0,299,17.270302
4.0,289,18.012538
4.0,275,18.442892
6.0,378,19.340505
7.0,425,20.003203
6.0,386,20.957094
12.0,348,21.83665
7.0,424,22.581789
6.0,390,23.516574
2.0,228,23.868612
2.0,224,24.218364
2.0,243,24.863375
2.0,206,25.209674
2.0,233,25.542639
5.0,353,26.446393
1.0,177,26.693443
2.0,229,27.023938
2.0,245,27.664356
3.0,252,28.027237
6.0,405,28.976577
10.0,428,29.745439
3.0,264,30.444128
3.0,262,30.886421
3.0,245,31.543089
7.0,416,32.26536
7.0,286,33.006819
6.0,377,33.659781
8.0,479,34.785317
6.0,388,35.731529
6.0,375,36.378026
2.0,224,37.005162
3.0,252,37.412646
1.0,197,37.680461
7.0,446,38.703471
3.0,239,39.088852
8.0,436,40.168904
7.0,420,41.155632
3.0,242,41.547772
7.0,286,42.270494
8.0,325,42.778506
3.0,250,43.18057
6.0,382,44.112602
4.0,296,44.55327
3.0,257,45.200424
3.0,256,45.607628
7.0,418,46.590586
11.0,458,47.34545
7.0,410,48.304352
3.0,249,48.969526
8.0,316,49.457869
3.0,254,49.793756
7.0,418,50.758229
7.0,283,51.199263
3.0,231,51.811479
2.0,211,52.093283
7.0,291,52.523734
11.0,304,53.26856
6.0,395,54.228261
8.0,515,55.104179
4.0,277,55.857203
11.0,436,56.863165
7.0,272,57.296696
7.0,423,58.26071
2.0,233,58.605125
2.0,232,58.938027
7.0,427,59.902895
2.0,212,60.192228
4.0,349,60.999242
3.0,311,61.473741
2.0,216,62.122399
8.0,318,62.605907
6.0,383,63.515092
7.0,408,64.16705
4.0,328,64.966929
4.0,296,65.434237
6.0,367,66.315463
2.0,188,66.602783
11.0,453,67.611357
8.0,474,68.677539
3.0,231,69.041911
9.0,370,69.928363
5.0,360,70.4754
7.0,425,71.43883
8.0,323,71.929859
7.0,404,72.885073
6.0,400,73.805437
3.0,283,74.225349
7.0,416,75.213524
4.0,328,75.715035
4.0,272,76.417006
7.0,461,77.143425
11.0,449,78.1461
3.0,243,78.487529
6.0,363,79.37058
8.0,431,80.360899
11.0,437,81.09339
4.0,281,81.783287
3.0,263,82.150051
6.0,409,83.068388
4.0,279,83.470171
4.0,281,84.196457
5.0,339,84.748383
3.0,257,85.421245
8.0,319,85.933482
5.0,324,86.44897
5.0,357,87.299159
3.0,231,87.667665
3.0,217,88.285156
2.0,226,88.605331
7.0,399,89.566907
8.0,444,90.263246
7.0,429,91.219295
7.0,414,92.158883
8.0,305,92.639314
7.0,402,93.599415
3.0,257,93.977368
3.0,243,94.591641
8.0,297,95.094994
3.0,249,95.455905
7.0,403,96.407959
7.0,420,97.379482
7.0,434,98.135286
3.0,242,98.762904
