#{"t_start": 1713848176.1160197, "env_id": "ALE/Breakout-v5"}
r,l,t
20.0,734,243.802561
13.0,686,245.204824
24.0,744,246.689856
14.0,712,248.428874
15.0,653,249.750322
13.0,639,251.041469
27.0,879,252.732206
14.0,662,254.316318
18.0,755,255.803582
18.0,656,257.142448
8.0,476,258.17956
16.0,639,259.475668
16.0,664,260.798416
24.0,648,262.085792
14.0,569,263.284843
27.0,765,265.080483
22.0,660,266.398413
11.0,578,267.595459
16.0,800,269.155708
17.0,730,270.603721
12.0,613,271.881424
23.0,891,273.917478
9.0,531,275.035533
13.0,648,276.36443
16.0,809,277.955611
31.0,867,279.893337
14.0,577,281.071386
18.0,721,282.527411
12.0,684,283.923823
17.0,806,285.802173
18.0,701,287.281937
21.0,888,289.349977
18.0,701,290.730044
27.0,910,292.814665
22.0,656,294.189857
12.0,603,295.384253
11.0,581,296.630153
17.0,687,298.042059
10.0,532,299.116398
12.0,614,300.399301
13.0,672,301.70605
10.0,546,302.825716
23.0,904,304.857925
15.0,593,306.083276
8.0,490,306.813767
17.0,698,308.474278
14.0,535,309.593423
18.0,710,311.01432
17.0,794,312.587901
23.0,829,314.514657
13.0,503,315.639547
19.0,796,317.164785
13.0,609,318.415939
12.0,574,319.586094
19.0,800,321.141216
12.0,572,322.288735
21.0,796,324.138958
16.0,693,325.595831
18.0,567,326.76603
16.0,762,328.253103
16.0,765,330.085526
17.0,740,331.605917
17.0,586,332.789254
11.0,575,333.975023
21.0,766,335.472072
12.0,586,336.663524
18.0,722,338.40077
17.0,768,339.949335
25.0,866,341.994342
24.0,860,343.75432
26.0,992,345.928169
17.0,590,347.152256
11.0,593,348.35643
18.0,768,349.883131
17.0,612,351.129537
17.0,691,352.76856
11.0,599,353.967947
4.0,291,354.397615
24.0,780,355.967071
16.0,776,357.854487
13.0,641,359.203956
12.0,585,360.421514
16.0,656,361.760343
17.0,713,363.188959
19.0,706,364.879245
15.0,759,366.455269
14.0,536,367.60657
14.0,703,369.077992
13.0,618,370.376654
25.0,745,372.09848
18.0,726,373.653228
8.0,474,374.750818
15.0,764,376.281426
21.0,785,377.919861
17.0,613,379.224877
24.0,835,381.1673
15.0,692,382.618743
21.0,712,384.075898
22.0,797,385.957458
28.0,862,387.653667
24.0,764,389.390935
23.0,893,391.150605
24.0,900,393.190159
18.0,828,394.863902
25.0,810,396.744897
16.0,779,398.291256
20.0,817,400.230954
12.0,615,401.531215
19.0,816,403.148975
26.0,1042,405.540653
26.0,905,407.615857
18.0,766,409.151188
14.0,565,410.328923
25.0,865,412.344248
23.0,878,414.081351
20.0,682,415.534871
20.0,693,417.302921
21.0,780,418.93034
24.0,893,420.966472
15.0,732,422.447102
21.0,698,423.891384
29.0,844,425.766168
19.0,725,427.209207
11.0,573,428.401521
14.0,607,429.687017
12.0,598,430.910766
24.0,903,432.957609
12.0,618,434.228013
24.0,810,435.844547
18.0,595,437.033236
25.0,833,438.915592
23.0,868,440.630169
19.0,697,442.037221
13.0,666,443.665745
18.0,730,445.11375
26.0,906,447.17283
16.0,696,448.5759
15.0,638,449.884903
15.0,659,451.273153
13.0,630,452.58825
13.0,673,453.908966
26.0,790,455.776558
14.0,702,457.240545
18.0,812,458.955727
16.0,771,460.843489
22.0,793,462.441092
16.0,654,463.775855
18.0,724,465.556555
24.0,880,467.342842
30.0,979,469.611139
22.0,907,471.761027
16.0,760,473.296675
20.0,782,474.939617
10.0,567,476.138817
24.0,679,477.590683
12.0,583,478.870633
19.0,756,480.699419
15.0,736,482.217659
13.0,674,483.6268
29.0,1067,486.050353
16.0,753,487.892411
12.0,591,489.169737
34.0,1088,491.645895
18.0,721,493.135408
19.0,801,494.952742
19.0,775,496.901753
16.0,627,498.250241
14.0,685,499.625425
16.0,660,501.004403
25.0,844,502.95991
7.0,460,503.671656
12.0,634,504.997633
15.0,751,506.819949
24.0,778,508.419778
15.0,618,509.726169
28.0,908,511.804297
10.0,595,513.039025
12.0,591,514.287405
10.0,589,515.517709
10.0,557,516.671317
23.0,915,518.528138
25.0,885,520.581706
11.0,577,521.770449
10.0,531,522.920687
8.0,496,523.976703
26.0,777,525.583374
15.0,598,526.840714
13.0,564,528.077844
29.0,863,530.023018
25.0,657,531.391075
19.0,764,532.923678
15.0,567,534.106388
15.0,768,535.896834
28.0,914,537.675738
14.0,653,539.010143
24.0,838,540.980232
16.0,645,542.331183
26.0,934,544.491238
12.0,598,545.741038
16.0,648,547.106985
21.0,675,548.447906
12.0,508,549.530639
20.0,797,551.144787
35.0,882,553.166419
20.0,815,554.819549
15.0,697,556.497441
23.0,855,558.17013
13.0,633,559.480998
17.0,697,560.925471
16.0,715,562.685831
23.0,836,564.364188
21.0,862,566.366707
17.0,789,567.916075
25.0,983,570.122087
10.0,548,571.295762
31.0,1134,573.805398
18.0,711,575.300975
32.0,1172,577.910805
18.0,722,579.724671
32.0,1038,582.122529
26.0,1046,584.437723
14.0,644,585.756642
25.0,849,587.48611
14.0,698,588.954967
14.0,565,590.148045
19.0,732,591.892343
12.0,602,593.162177
19.0,866,594.942197
17.0,643,596.308866
30.0,975,598.519004
21.0,769,600.348212
16.0,760,601.920612
25.0,859,603.653992
35.0,966,605.834593
31.0,901,607.91119
10.0,592,609.120971
18.0,767,610.640586
31.0,906,612.730347
15.0,728,614.279525
20.0,864,616.343666
15.0,547,617.491985
21.0,799,619.183246
12.0,622,620.461865
22.0,843,622.438037
32.0,993,624.377198
33.0,1057,626.736405
15.0,606,628.008043
14.0,690,629.742879
27.0,945,631.673367
19.0,645,632.964049
21.0,834,634.948433
17.0,804,636.542074
14.0,688,638.189221
33.0,1040,640.200578
22.0,847,642.137989
12.0,572,643.323162
29.0,952,645.429684
28.0,1003,647.350613
27.0,956,649.505037
17.0,669,650.856052
12.0,612,652.090595
18.0,810,653.959665
16.0,767,655.458811
14.0,528,656.551689
16.0,658,657.866244
13.0,679,659.242822
13.0,612,660.81653
25.0,701,662.279146
16.0,707,663.69867
10.0,483,664.740323
23.0,755,666.237553
28.0,1020,668.495613
29.0,1035,670.794661
19.0,835,672.500473
13.0,658,674.205506
27.0,872,676.000968
15.0,647,677.354941
14.0,670,678.782989
12.0,619,680.361775
15.0,599,681.662964
9.0,504,682.46042
19.0,725,684.236583
14.0,632,685.582357
15.0,745,687.128278
12.0,601,688.390648
15.0,678,689.810499
27.0,825,691.750228
26.0,846,693.440626
14.0,584,694.680677
12.0,573,695.895943
17.0,626,697.203268
27.0,966,699.361711
19.0,757,701.179602
18.0,699,702.663793
17.0,702,704.167894
10.0,568,705.394494
11.0,510,706.493662
14.0,688,707.892309
26.0,940,710.030768
5.0,305,710.510655
17.0,694,712.210371
19.0,657,713.56553
15.0,660,714.930501
26.0,804,716.610026
13.0,576,717.851663
23.0,876,719.94594
22.0,910,721.803021
16.0,676,723.591373
21.0,767,725.256833
22.0,847,727.302382
19.0,819,728.983034
14.0,672,730.376321
22.0,808,732.374996
25.0,872,734.123411
7.0,439,735.079889
35.0,801,736.684134
27.0,836,738.650208
12.0,641,739.944486
18.0,712,741.38338
17.0,757,743.244114
20.0,834,745.011198
16.0,696,746.443829
19.0,710,748.179183
16.0,695,749.59139
26.0,1027,751.860644
12.0,548,753.035656
13.0,634,754.333947
26.0,861,755.990005
26.0,899,758.004682
13.0,615,759.287329
23.0,697,760.818394
27.0,977,763.120567
16.0,662,764.483787
18.0,815,766.391565
12.0,618,767.701276
16.0,832,769.338272
18.0,752,770.875041
27.0,871,772.874023
20.0,801,774.452712
19.0,733,776.25665
13.0,694,777.672124
19.0,772,779.270069
20.0,708,780.988643
15.0,759,782.539934
25.0,987,784.804241
21.0,746,786.472312
15.0,743,787.965909
15.0,629,789.342024
11.0,496,790.413837
31.0,789,792.338556
15.0,720,794.059538
17.0,784,795.734061
31.0,884,797.883516
13.0,656,799.328261
32.0,1060,801.699153
24.0,821,803.61125
18.0,806,805.227498
18.0,877,807.331753
12.0,611,808.681321
36.0,1128,811.164294
15.0,745,812.707427
14.0,674,814.143993
25.0,760,815.948371
18.0,732,817.43908
17.0,684,818.864202
15.0,702,820.311351
21.0,773,822.225177
17.0,630,823.563542
26.0,810,825.216045
22.0,812,827.124538
18.0,703,828.543256
18.0,708,829.978966
11.0,601,831.204577
29.0,968,833.424036
31.0,1002,835.666847
15.0,685,837.09943
17.0,696,838.584235
19.0,738,840.375927
11.0,589,841.5966
19.0,818,843.236839
14.0,717,844.74438
24.0,882,846.80093
15.0,696,848.212871
19.0,784,849.794458
17.0,730,851.581252
13.0,663,853.019615
11.0,596,854.321002
21.0,769,855.900109
28.0,968,858.099945
15.0,717,859.568403
22.0,869,861.569153
23.0,765,863.103245
18.0,830,865.115044
16.0,734,866.749185
