#{"t_start": 1713848176.0706825, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,188,2.27186
0.0,163,2.500231
0.0,166,2.72106
2.0,223,3.096186
3.0,278,4.233395
1.0,220,4.570913
0.0,156,4.801547
2.0,245,5.509164
5.0,345,6.130284
2.0,246,6.522978
1.0,190,7.090343
0.0,178,7.350556
2.0,237,7.74388
4.0,314,8.630914
5.0,328,9.244151
1.0,217,9.857929
3.0,254,10.267847
3.0,280,10.772333
0.0,167,11.313309
3.0,278,11.739967
5.0,346,12.326741
1.0,208,12.909915
1.0,189,13.203289
2.0,228,13.571211
6.0,399,14.492109
10.0,439,15.461037
7.0,291,15.913232
7.0,404,16.862149
11.0,442,17.631881
3.0,257,18.318171
4.0,342,18.833258
7.0,424,19.77323
7.0,278,20.207784
11.0,476,21.318961
3.0,238,21.957202
4.0,299,22.454414
7.0,264,22.906824
5.0,370,23.817365
2.0,218,24.186473
6.0,358,25.111824
0.0,182,25.364828
4.0,339,26.187522
2.0,245,26.544207
2.0,240,26.90608
4.0,323,27.715215
3.0,253,28.108002
6.0,378,29.042559
2.0,236,29.386505
11.0,457,30.472893
4.0,341,31.009965
7.0,276,31.760241
3.0,242,32.138183
3.0,250,32.519062
7.0,410,33.49017
4.0,265,33.921885
3.0,227,34.570267
3.0,264,34.964919
3.0,249,35.350635
2.0,228,35.953231
6.0,379,36.623135
5.0,321,37.42277
4.0,286,37.885324
2.0,212,38.431008
7.0,273,38.876077
4.0,274,39.321436
5.0,349,40.171223
8.0,464,41.281196
2.0,204,41.606113
11.0,436,42.669987
4.0,311,43.186745
4.0,287,43.92546
11.0,438,44.710289
6.0,385,45.670751
6.0,375,46.583647
4.0,264,47.006652
7.0,395,47.964263
13.0,375,48.560212
8.0,345,49.374355
6.0,395,49.99387
7.0,293,50.694061
6.0,376,51.317235
8.0,443,52.338487
4.0,287,53.040741
7.0,424,53.750549
6.0,385,54.694211
4.0,288,55.119693
3.0,255,55.810503
4.0,290,56.28493
3.0,273,56.93768
7.0,401,57.625975
4.0,265,58.299671
1.0,185,58.577482
3.0,238,58.973986
7.0,424,59.937107
7.0,401,60.884049
4.0,301,61.364512
11.0,436,62.466211
6.0,394,63.120759
6.0,377,64.027796
7.0,418,65.004845
4.0,330,65.520231
7.0,406,66.481576
3.0,246,66.857502
5.0,366,67.690357
3.0,244,68.045751
1.0,179,68.306551
3.0,248,68.927209
5.0,348,69.478827
3.0,256,70.116467
7.0,395,70.771135
2.0,247,71.36966
10.0,443,72.140509
5.0,330,72.927032
9.0,519,74.071628
3.0,250,74.426997
1.0,182,74.671255
6.0,364,75.55982
2.0,226,75.874134
3.0,221,76.187149
7.0,418,77.111802
4.0,270,77.798127
4.0,270,78.210574
7.0,422,79.181257
5.0,337,79.707321
7.0,435,80.675642
3.0,233,80.990319
4.0,284,81.701266
7.0,411,82.38032
5.0,323,83.13959
5.0,371,83.731917
2.0,214,84.345526
8.0,466,85.126738
4.0,277,85.84238
7.0,427,86.558508
3.0,240,87.199588
11.0,443,88.26979
3.0,247,88.633991
2.0,219,88.962878
3.0,244,89.585657
7.0,421,90.251051
11.0,456,91.253043
3.0,248,91.612257
6.0,375,92.50218
6.0,377,93.411897
3.0,258,93.769006
3.0,246,94.098918
8.0,436,95.120839
3.0,254,95.521801
6.0,390,96.427548
3.0,249,96.7706
3.0,227,97.391754
2.0,245,97.739831
7.0,287,98.188275
11.0,446,99.21386
2.0,209,99.5155
6.0,377,100.374242
8.0,431,101.377469
7.0,424,102.067646
5.0,324,102.883955
7.0,423,103.560615
7.0,411,104.53502
3.0,257,104.913362
11.0,436,105.922403
3.0,233,106.57794
6.0,396,107.266802
5.0,337,108.119612
7.0,418,108.790653
11.0,452,109.798866
8.0,463,110.856916
7.0,272,111.31672
5.0,309,112.091497
3.0,244,112.494309
4.0,281,113.230415
7.0,403,113.943323
3.0,256,114.604321
7.0,408,115.305982
2.0,228,115.924848
6.0,378,116.57953
12.0,484,117.714614
5.0,355,118.611629
15.0,534,119.841762
7.0,409,120.549728
10.0,523,121.741635
6.0,365,122.653126
3.0,287,123.065915
2.0,194,123.345353
7.0,427,124.314699
3.0,248,124.69425
3.0,266,125.326664
6.0,378,125.965994
4.0,271,126.684643
5.0,366,127.271625
8.0,430,128.264752
11.0,483,129.362427
1.0,204,129.634712
7.0,420,130.570563
6.0,380,131.210168
2.0,215,131.80434
4.0,284,132.249474
7.0,407,133.197291
5.0,348,133.737301
4.0,307,134.47482
2.0,229,134.810174
8.0,445,135.838143
7.0,405,136.472408
9.0,512,137.649478
6.0,428,138.581515
4.0,337,139.346345
6.0,404,139.965225
17.0,655,141.336856
6.0,369,142.186981
11.0,612,143.480746
19.0,561,144.665448
6.0,364,145.509645
11.0,488,146.333445
11.0,632,147.640192
11.0,484,148.677321
9.0,507,149.744376
14.0,594,150.971755
11.0,450,151.940091
5.0,356,152.448553
13.0,541,153.602221
15.0,540,154.75195
6.0,385,155.611587
15.0,630,156.945638
9.0,522,158.049634
12.0,491,159.107304
7.0,464,159.853457
14.0,614,161.140189
12.0,667,162.846374
7.0,414,163.530451
6.0,368,164.388293
9.0,473,165.430557
9.0,535,166.590982
9.0,524,167.448157
12.0,628,168.771189
10.0,526,169.930289
19.0,716,171.639456
12.0,666,173.029618
7.0,406,173.673665
17.0,532,174.814127
14.0,570,176.004992
8.0,455,177.037265
12.0,523,178.177438
11.0,531,179.433681
14.0,570,180.640121
19.0,676,181.999318
13.0,669,183.369363
10.0,509,184.440516
10.0,550,185.567481
15.0,604,186.842115
21.0,733,188.347215
10.0,557,189.479561
10.0,395,190.34938
11.0,568,191.523779
11.0,604,192.783799
11.0,601,194.02517
7.0,431,194.987396
16.0,570,196.181849
16.0,669,197.534739
15.0,655,198.8624
11.0,555,200.012823
16.0,684,201.407323
18.0,665,202.727007
16.0,660,204.029023
8.0,448,205.034625
14.0,573,206.211672
8.0,436,207.141132
12.0,616,208.501692
18.0,640,209.919398
9.0,509,211.035375
13.0,575,212.31688
19.0,736,213.869047
19.0,677,215.335278
9.0,535,216.50938
13.0,573,217.734059
15.0,698,219.143184
9.0,522,220.229376
26.0,692,221.644347
20.0,716,223.35229
17.0,708,224.75029
20.0,707,226.180914
11.0,557,227.312627
9.0,522,228.393495
15.0,630,229.686396
13.0,567,230.833111
14.0,743,232.340139
14.0,663,233.961166
20.0,810,235.549958
20.0,726,237.014919
12.0,564,238.187082
17.0,702,239.616786
17.0,732,241.344136
14.0,599,242.565945
21.0,743,244.07913
20.0,731,245.522127
10.0,542,246.636073
14.0,640,247.964895
9.0,458,248.97504
11.0,555,250.133664
21.0,731,251.559794
21.0,641,253.136092
13.0,618,254.394185
17.0,814,256.005805
15.0,634,257.339192
26.0,818,259.214812
33.0,958,261.096648
15.0,692,262.791793
17.0,710,264.24775
13.0,688,265.602144
22.0,782,267.153322
12.0,634,268.720413
11.0,547,269.875979
19.0,628,271.169808
30.0,839,272.870867
27.0,873,274.886669
17.0,666,276.249905
11.0,578,277.447553
22.0,761,278.946888
23.0,802,280.792961
22.0,760,282.337602
24.0,843,284.295553
22.0,789,285.898706
20.0,763,287.493345
14.0,675,288.909762
13.0,594,290.410502
21.0,830,292.076645
17.0,822,293.71594
21.0,803,295.604775
14.0,713,297.088961
23.0,706,298.509285
16.0,628,299.789896
16.0,663,301.373522
24.0,638,302.68537
24.0,745,304.180968
18.0,738,305.64956
18.0,857,307.611928
13.0,643,308.917539
28.0,948,311.029115
12.0,632,312.302867
15.0,643,313.625985
24.0,846,315.619311
32.0,974,317.521208
19.0,721,319.220649
28.0,930,321.030607
18.0,861,322.981422
14.0,524,324.070706
22.0,711,325.533894
14.0,638,326.843277
13.0,640,328.133906
15.0,669,329.500875
16.0,618,330.832703
11.0,634,332.375801
15.0,704,333.822846
8.0,449,334.773781
17.0,654,336.103011
10.0,509,337.189863
25.0,852,338.911023
14.0,665,340.273009
14.0,654,341.586842
18.0,797,343.514235
20.0,804,345.111633
27.0,893,347.098595
28.0,930,349.192332
11.0,430,349.852588
13.0,640,351.116123
11.0,557,352.288673
14.0,604,353.496738
16.0,636,354.790664
13.0,682,356.428657
14.0,629,357.729424
14.0,550,358.87434
11.0,595,360.12465
15.0,701,361.567433
23.0,949,363.717347
17.0,766,365.275462
13.0,601,366.542632
15.0,739,368.026783
24.0,965,370.235642
11.0,612,371.472168
17.0,652,372.843485
15.0,649,374.248232
18.0,850,376.268495
13.0,634,377.625455
20.0,672,379.045271
20.0,726,380.540603
11.0,561,381.702627
25.0,883,383.784624
11.0,555,384.959562
8.0,448,385.91718
17.0,794,387.495276
31.0,955,389.615514
20.0,808,391.172428
21.0,822,393.056837
19.0,744,394.588396
13.0,603,395.820271
18.0,688,397.195001
14.0,706,398.931651
21.0,691,400.355129
13.0,655,401.728398
25.0,875,403.76086
23.0,870,405.542952
18.0,783,407.092203
15.0,605,408.599526
20.0,746,410.131491
16.0,806,411.755825
17.0,747,413.511845
12.0,618,414.793711
13.0,681,416.290116
14.0,581,417.537446
31.0,854,419.314561
16.0,658,420.9112
15.0,750,422.381308
30.0,985,424.577445
20.0,722,425.999202
17.0,701,427.401711
11.0,528,428.49737
25.0,1036,430.778415
24.0,651,432.086375
15.0,599,433.373841
17.0,677,434.786592
13.0,641,436.098636
25.0,770,437.868927
15.0,706,439.27676
20.0,760,440.787387
20.0,807,442.700331
23.0,710,444.134922
32.0,1139,446.594002
15.0,724,448.036762
22.0,886,450.080327
16.0,805,451.713499
17.0,638,453.309943
22.0,723,454.789032
15.0,689,456.210021
16.0,608,457.489915
21.0,799,459.405169
8.0,435,460.125232
17.0,734,461.888887
15.0,735,463.386873
29.0,944,465.532189
17.0,819,467.165055
22.0,819,468.824267
12.0,621,470.500543
13.0,685,471.933297
19.0,811,473.576966
20.0,807,475.538147
15.0,716,477.036226
20.0,738,478.592496
6.0,372,479.442891
27.0,819,481.13585
22.0,749,482.961392
14.0,692,484.391611
14.0,727,485.878141
16.0,677,487.29658
17.0,696,488.773529
24.0,955,490.979743
13.0,653,492.370893
22.0,813,494.368011
19.0,752,496.068049
19.0,740,497.638459
18.0,699,499.359333
16.0,745,500.897824
18.0,782,502.465102
14.0,692,503.909067
19.0,789,505.785942
17.0,573,506.980844
26.0,856,508.723244
19.0,772,510.592155
19.0,862,512.317735
36.0,1140,514.871869
28.0,934,517.036473
15.0,599,518.313322
27.0,922,520.383877
8.0,430,521.351667
33.0,910,523.2145
15.0,712,524.654429
21.0,674,526.308077
21.0,704,527.763039
17.0,701,529.193897
15.0,689,530.569995
24.0,823,532.489025
15.0,722,533.93446
17.0,700,535.364823
14.0,714,537.054415
20.0,758,538.538947
22.0,851,540.243233
15.0,619,541.518592
20.0,774,543.400365
11.0,568,544.585121
13.0,635,545.918535
9.0,511,546.995157
31.0,877,548.763543
16.0,755,550.556081
17.0,665,551.918434
16.0,732,553.375432
14.0,569,554.576617
10.0,512,555.675716
24.0,756,557.195753
27.0,867,559.217764
25.0,831,560.879465
18.0,694,562.584859
20.0,775,564.117808
9.0,523,565.228927
20.0,770,566.788308
25.0,983,568.980721
16.0,615,570.279637
9.0,528,571.404894
30.0,886,573.447379
24.0,927,575.360327
19.0,779,577.163349
29.0,921,579.072225
12.0,621,580.395701
14.0,708,582.119815
24.0,805,583.709493
14.0,694,585.103185
16.0,739,586.884602
21.0,741,588.438028
19.0,730,589.96458
25.0,857,591.98154
15.0,715,593.433198
15.0,798,595.087631
18.0,798,597.000737
15.0,632,598.3146
10.0,523,599.442891
17.0,706,600.902697
18.0,848,602.943312
27.0,939,604.804483
15.0,711,606.526526
25.0,1018,608.493492
28.0,972,610.672412
23.0,814,612.578424
17.0,697,614.055606
21.0,818,615.746049
19.0,743,617.582484
14.0,718,619.08165
15.0,637,620.378479
20.0,786,621.969278
15.0,694,623.648208
24.0,932,625.44979
7.0,403,626.363454
11.0,541,627.519257
19.0,699,628.99375
15.0,682,630.432186
13.0,615,631.762704
23.0,870,633.776352
21.0,803,635.408792
12.0,567,636.553263
26.0,811,638.439606
16.0,787,639.954211
12.0,612,641.195496
12.0,620,642.44469
14.0,562,643.603282
24.0,840,645.503383
31.0,978,647.369933
20.0,783,649.198344
19.0,761,650.704175
20.0,810,652.575958
18.0,707,653.954955
32.0,1027,656.167739
10.0,550,657.32884
13.0,632,658.623429
21.0,735,660.080507
6.0,398,660.958942
16.0,639,662.302464
8.0,408,662.959138
17.0,729,664.69809
19.0,755,666.221825
29.0,854,668.202055
30.0,933,670.068535
13.0,570,671.257501
33.0,957,673.514435
15.0,492,674.595207
12.0,643,675.923696
28.0,898,677.999415
30.0,949,679.955164
19.0,665,681.635724
18.0,784,683.243877
11.0,601,684.525285
19.0,808,686.212803
24.0,818,688.149345
13.0,492,689.207819
31.0,907,691.01877
30.0,932,693.142869
10.0,463,694.123647
13.0,681,695.517041
13.0,676,696.879936
25.0,872,698.856842
12.0,575,700.050447
28.0,986,701.983219
19.0,815,703.93782
20.0,728,705.485761
37.0,1118,707.972751
22.0,786,709.826747
21.0,690,711.250232
14.0,658,712.637471
19.0,663,714.018098
22.0,722,715.494062
19.0,733,717.269342
16.0,709,718.750837
4.0,278,719.190325
8.0,462,720.215288
10.0,534,721.321182
32.0,1032,723.833077
9.0,488,724.925013
9.0,499,725.735424
14.0,597,727.022356
9.0,479,728.078526
13.0,567,729.272155
