#{"t_start": 1713848176.1610508, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,226,2.258583
5.0,321,2.83192
1.0,208,3.805887
3.0,272,4.294715
2.0,244,4.771948
1.0,201,5.391774
1.0,196,5.674096
4.0,299,6.193088
3.0,290,6.974953
1.0,202,7.342805
0.0,154,7.566516
0.0,170,7.778955
3.0,291,8.575949
1.0,197,8.876068
1.0,203,9.125197
1.0,219,9.748007
4.0,318,10.35306
1.0,189,10.619745
2.0,246,11.31438
4.0,321,11.828591
2.0,233,12.192836
4.0,294,12.980284
7.0,445,14.066318
7.0,441,14.829617
4.0,342,15.617024
3.0,248,16.002515
8.0,449,17.016191
2.0,226,17.326515
7.0,498,18.440281
6.0,400,19.318439
3.0,269,19.694367
7.0,283,20.127926
5.0,338,20.953034
3.0,273,21.38783
7.0,410,22.429621
3.0,255,22.836471
8.0,320,23.61246
3.0,260,24.033665
2.0,220,24.652753
3.0,255,25.037495
4.0,328,25.600851
3.0,244,26.266043
3.0,258,26.688142
3.0,234,27.059815
7.0,276,27.82082
6.0,404,28.758228
3.0,254,29.126892
3.0,263,29.539991
3.0,251,30.209423
7.0,413,30.902585
7.0,399,31.907311
6.0,373,32.549443
7.0,417,33.522476
6.0,396,34.462888
7.0,403,35.184779
8.0,298,35.977855
8.0,326,36.486368
3.0,251,37.148027
5.0,345,37.746161
10.0,426,38.707879
3.0,263,39.101952
3.0,259,39.790774
2.0,222,40.11739
2.0,234,40.442811
3.0,272,41.14694
4.0,289,41.617076
6.0,383,42.525502
7.0,274,42.978713
3.0,255,43.385977
11.0,443,44.446777
3.0,236,45.087796
8.0,470,45.887979
5.0,309,46.695713
11.0,459,47.72486
11.0,447,48.49087
11.0,450,49.526105
6.0,364,50.389473
3.0,251,50.757872
7.0,273,51.177315
3.0,246,51.802126
7.0,424,52.493828
7.0,280,53.184108
7.0,277,53.646159
3.0,247,54.331515
5.0,338,54.873133
7.0,421,55.886373
3.0,265,56.27116
8.0,452,57.264818
11.0,303,57.730832
4.0,306,58.535668
8.0,458,59.596956
7.0,421,60.291076
7.0,400,61.233118
3.0,254,61.602031
5.0,343,62.485948
7.0,399,63.13701
4.0,277,63.850844
8.0,474,64.892462
8.0,319,65.402336
7.0,278,66.104899
3.0,278,66.513841
2.0,231,66.832711
6.0,375,67.672079
3.0,254,68.00344
6.0,394,68.915431
7.0,281,69.344408
7.0,283,70.056633
5.0,335,70.564152
7.0,422,71.515554
5.0,348,72.091701
3.0,226,72.677984
7.0,388,73.324218
3.0,254,73.963738
7.0,408,74.662961
4.0,294,75.385365
8.0,295,75.871634
3.0,233,76.498249
7.0,417,77.127048
7.0,400,78.068648
3.0,227,78.410509
6.0,386,79.277644
3.0,267,79.660312
7.0,429,80.627305
8.0,469,81.660547
7.0,409,82.336651
8.0,343,83.125094
7.0,403,83.809227
11.0,310,84.568083
2.0,224,84.875354
4.0,286,85.589766
8.0,294,86.072397
4.0,331,86.880101
5.0,350,87.458178
3.0,246,88.121433
4.0,294,88.577163
3.0,258,88.957026
3.0,242,89.588578
4.0,286,89.976235
6.0,395,90.860503
8.0,452,91.632344
6.0,359,92.476869
3.0,242,92.817398
7.0,427,93.82014
5.0,344,94.614818
3.0,251,94.97766
5.0,331,95.531627
7.0,422,96.497772
6.0,374,97.399154
7.0,419,98.110918
4.0,294,98.838164
4.0,289,99.245071
8.0,455,100.232314
3.0,242,100.611213
7.0,423,101.549637
3.0,236,101.922001
11.0,312,102.708031
4.0,272,103.115467
4.0,290,103.7981
7.0,421,104.518233
7.0,394,105.451396
7.0,401,106.422156
3.0,267,106.846813
6.0,371,107.494277
4.0,276,108.196532
10.0,419,109.155142
7.0,408,109.837342
6.0,397,110.733227
7.0,276,111.197823
4.0,265,111.877438
4.0,271,112.342215
7.0,271,112.773863
3.0,275,113.460106
3.0,251,113.83394
3.0,248,114.495938
6.0,371,115.133029
7.0,294,115.884914
3.0,254,116.252584
6.0,384,117.161948
8.0,478,118.008203
7.0,451,119.08006
4.0,282,119.830244
8.0,302,120.309059
6.0,375,121.210515
6.0,361,121.766931
3.0,263,122.439354
5.0,367,123.015142
5.0,374,123.895129
11.0,453,124.699009
6.0,392,125.604416
3.0,286,126.370131
2.0,223,126.684021
11.0,473,127.750528
7.0,280,128.186828
3.0,240,128.570826
6.0,374,129.454986
9.0,499,130.582525
5.0,315,131.097776
3.0,249,131.770022
4.0,314,132.239179
2.0,227,132.552111
7.0,392,133.430103
11.0,538,134.66141
6.0,425,135.595828
9.0,501,136.710292
12.0,509,137.589135
11.0,474,138.605989
9.0,536,139.764259
5.0,354,140.577756
8.0,431,141.275019
5.0,347,142.061086
13.0,542,143.236034
6.0,392,143.850961
6.0,388,144.711959
6.0,378,145.589937
5.0,370,146.147262
14.0,482,147.183287
6.0,381,148.031872
9.0,498,148.826253
15.0,514,149.942362
7.0,402,150.826503
10.0,539,151.974277
10.0,513,153.075733
17.0,595,154.344939
13.0,557,155.535234
12.0,482,156.596281
7.0,429,157.279805
14.0,579,158.49999
14.0,563,159.697105
9.0,489,160.757514
16.0,548,162.006978
10.0,555,163.23325
14.0,579,164.526196
14.0,567,165.767185
13.0,540,166.936087
16.0,575,168.129703
10.0,540,169.299632
8.0,468,170.32122
15.0,774,171.879125
6.0,406,172.814801
13.0,535,173.970809
11.0,608,175.265085
17.0,687,176.683144
9.0,505,177.804842
15.0,632,179.246078
19.0,708,180.723862
5.0,338,181.493417
13.0,537,182.36791
20.0,720,184.099091
9.0,528,185.202748
15.0,548,186.327307
11.0,578,187.520962
11.0,531,188.375134
18.0,612,189.621804
16.0,650,191.221509
12.0,519,192.019917
8.0,467,192.99567
8.0,449,193.951329
17.0,785,195.524837
12.0,683,196.926734
16.0,689,198.601963
20.0,728,200.084841
14.0,578,201.266411
16.0,800,202.817701
12.0,612,204.038791
18.0,701,205.787591
11.0,575,206.932842
16.0,632,208.30458
